id,title,seq,start_sec,end_sec,start_time,end_time,original_text,japanese_translation,audio_url,audio_file,video_playback_url,doi
范丹_FULL_ELAN_0037,范丹,37,464.866,471.366,00:07:44.866,00:07:51.366,还有五关阻拦路，,さらに五つの関門が行く手を阻む。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=464,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0038,范丹,38,475.433,482.533,00:07:55.433,00:08:02.533,猛虎蛇关好惊人。,猛虎と蛇の関は恐ろしい。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=475,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0039,范丹,39,486.3,493.833,00:08:06.300,00:08:13.833,猴子关来多汹涌，,猿の関は荒々しく、,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=486,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0040,范丹,40,498.266,503.733,00:08:18.266,00:08:23.733,石子精就阻路程。,石の精が道を塞ぐ。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=498,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0041,范丹,41,507.933,514.366,00:08:27.933,00:08:34.366,五关还有鬼扯脚，,最後の関には鬼が足を引っ張る。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=507,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0042,范丹,42,518.066,524.866,00:08:38.066,00:08:44.866,你凡人怎能过五关…你怎能到的西（方）,"人間のお前に五関を越えられるか…
西方に辿り着けるか？",https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=518,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0043,范丹,43,540.633,546.3,00:09:00.633,00:09:06.300,哦，哀求吧龟仙,ああ、お願いですウミガメ仙人！,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=540,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0044,范丹,44,559.0,565.933,00:09:19.000,00:09:25.933,龟仙渡我过五关…万不忘 ！,五関も渡してください…決して忘れません！,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=559,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0045,范丹,45,581.1,587.966,00:09:41.100,00:09:47.966,善人哭的如酒醉，,善人の涙は酒に酔ったよう、,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=581,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0046,范丹,46,591.833,597.766,00:09:51.833,00:09:57.766,哀求渡你过五关。,その願いに心動かされる。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=591,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0047,范丹,47,601.533,608.233,00:10:01.533,00:10:08.233,傍着善人善念好，,善念を持つ者のために、,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=601,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0048,范丹,48,612.066,618.166,00:10:12.066,00:10:18.166,我来渡你过五关…万放宽（心）,私が五関を渡してやろう…安心しなさい！,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=612,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0049,范丹,49,789.466,796.2,00:13:09.466,00:13:16.200,我三拳猛虎来打死，,三拳で猛虎を打ち倒し、,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=789,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0050,范丹,50,800.433,804.8,00:13:20.433,00:13:24.800,有何本领见我身,本領は我が身に見よ！,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=800,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0051,范丹,51,807.4,815.066,00:13:27.400,00:13:35.066,渡着善人过二关…看它何！,善人を連れて第二関へ…さあ行こう！,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=807,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0052,范丹,52,931.566,939.6,00:15:31.566,00:15:39.600,二关已经来打过，,第二関も打ち破った、,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=931,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0053,范丹,53,943.266,951.833,00:15:43.266,00:15:51.833,带着善人过三关… 险中险！,善人を連れて第三関へ…さらに険しい道！,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=943,https://doi.org/10.5281/zenodo.20084809
